,0
0,ya
1,tidak
2,tidak
3,tidak
4,tidak
5,tidak
6,tidak
7,tidak
8,tidak
9,tidak
10,tidak
11,tidak
12,tidak
13,tidak
14,tidak
15,tidak
16,tidak
17,tidak
18,tidak
19,tidak
